feature,rho_ARAT,p_ARAT,rho_FMA,p_FMA,sig_ARAT,sig_FMA
Z_jerk_std_iqr,0.4645203696829807,5.439700595250274e-12,0.4413189551866888,7.628141514812631e-11,True,True
jerk_mag_mean_std,0.46348745350347587,6.144556007536496e-12,0.4634808758095224,6.149317393020265e-12,True,True
jerk_mag_std_std,0.4592961676866394,1.0032197867863979e-11,0.4460704239484814,4.513793364108864e-11,True,True
Y_jerk_max_std,0.44861469939858123,3.396758248691678e-11,0.4426290118407378,6.606032388708696e-11,True,True
Y_jerk_std_p90,0.44621978954610103,4.4393660004150477e-11,0.44061211234028935,8.241729663036813e-11,True,True
Z_jerk_std_std,0.4318936912303597,2.1093368451014753e-10,0.4170759469274647,9.810307065426763e-10,True,True
Y_jerk_max_iqr,0.4310961622461843,2.2956406436702066e-10,0.4186736901667003,8.341664974146944e-10,True,True
Y_jerk_std_std,0.42357770939536554,5.043837292216014e-10,0.42865223857708584,2.971321652215706e-10,True,True
Y_jerk_std_iqr,0.38719335311730435,1.74902591513527e-08,0.3770310569609314,4.372318505501563e-08,True,True
X_jerk_std_p10,0.291688095812321,3.0532200741522294e-05,0.2959908286052993,2.2972417837490447e-05,True,True
X_jerk_max_p10,0.29083326862928244,3.229005778255736e-05,0.30080803220510494,1.6615793331843004e-05,True,True
Z_vel_max_p10,0.2616878429075864,0.00019603938120432617,0.23774898877467446,0.0007442561887613225,True,False
Y_vel_max_p10,0.25641718291216686,0.00026591903193357757,0.2695893976061398,0.00012263577394525666,False,True
X_vel_mean_mean,0.11776251036335474,0.09846770165569048,0.12047803775933869,0.09089288165655089,False,False
Z_vel_mean_p50,0.11533275701156591,0.10566167923084867,0.10977563277977372,0.12366851809525875,False,False
Z_jerk_mean_mean,0.10228812517039769,0.15158015971197722,0.09128403617117639,0.2008901648511555,False,False
Y_vel_mean_p50,0.07100408289113605,0.32020080610950585,0.08875517828526143,0.2137042289359785,False,False
Z_jerk_mean_p50,0.062285465064130976,0.38335472424551476,0.06149455428571918,0.3894356650263101,False,False
Z_vel_mean_mean,0.05120987808389293,0.473685925780742,0.0494001174423478,0.48947617857083514,False,False
X_vel_max_p10,0.0295465131137377,0.6794497211965672,0.051372935933775656,0.47227701705938163,False,False
Y_vel_mean_mean,0.028097023542498486,0.6943678448558921,0.03318603963314488,0.6425472919316617,False,False
Y_jerk_mean_p50,0.009633066108860576,0.8928537041382061,0.007300433774629187,0.9186954360840793,False,False
X_vel_mean_p50,0.00823158313666882,0.9083680663235798,-0.00432303228815436,0.9518007517464531,False,False
X_acc_mean_mean,0.00460089050870907,0.948706907670285,-0.01801598572179677,0.8011007783280992,False,False
Y_acc_mean_mean,-0.005340346994036765,0.9404772072114886,0.0009249278383958164,0.9896816562828484,False,False
Y_acc_mean_p50,-0.018033446642180116,0.8009120259014997,-0.03936124765119721,0.5819295237059054,False,False
Z_acc_mean_mean,-0.021926626964931577,0.7591338797584009,-0.010365997279145087,0.8847559791737328,False,False
X_jerk_mean_mean,-0.032869808647796823,0.6457208007754606,-0.04664002759683386,0.5140894584930127,False,False
Y_jerk_mean_mean,-0.05161948277576554,0.4701510752612895,-0.04541271950357788,0.5252356858280638,False,False
X_acc_mean_p50,-0.07319225464771832,0.305476173801291,-0.09630927119951757,0.17709592031319824,False,False
X_jerk_mean_p50,-0.07409895992972747,0.29950750107541557,-0.07640476224915675,0.2846787744465618,False,False
Z_acc_mean_p50,-0.1454863213132585,0.040844386478039195,-0.16595726545196507,0.019456495276128354,False,False
Y_vel_mean_p10,-0.6490182471221714,4.634654547176138e-25,-0.6337472532310037,1.2381618277599154e-23,True,True
Y_jerk_mean_p10,-0.6559397146848355,9.819395289771693e-26,-0.6505761451133877,3.2798614284812475e-25,True,True
X_vel_mean_p10,-0.6737563573313176,1.4897601763649848e-27,-0.6430908804412865,1.695950821582049e-24,True,True
Z_vel_mean_p10,-0.6797238873129097,3.428684057719418e-28,-0.6602128723661054,3.6906964621305715e-26,True,True
Y_acc_mean_p10,-0.6813986981796781,2.2560583797376793e-28,-0.6711960037715381,2.7687995130417985e-27,True,True
