dim,icc,sd,SEM,MDC,stream
351,0.3600264,0.0022586463,0.0018068798,0.005008415184692907,gravity
352,0.35733062,0.0022679183,0.0018181144,0.0050395560751869154,gravity
353,0.35460734,0.0022769454,0.0018292144,0.005070323617043012,gravity
354,0.351863,0.0022856917,0.0018401408,0.005100610032867022,gravity
355,0.34902257,0.00229486,0.0018515659,0.005132278838980408,gravity
356,0.34612122,0.0023042175,0.0018632542,0.005164677239968744,gravity
357,0.3432778,0.0023128164,0.0018742693,0.005195209543141144,gravity
358,0.34035712,0.002321787,0.0018857183,0.005226944500050358,gravity
359,0.33736515,0.002331124,0.0018975905,0.005259852423509965,gravity
360,0.3344542,0.0023397072,0.0019087563,0.005290802606099905,gravity
361,0.33151135,0.0023483941,0.0019200741,0.005322173894975476,gravity
362,0.3285126,0.0023574014,0.0019317569,0.005354556806996984,gravity
363,0.32555422,0.0023660844,0.0019431384,0.005386104928243838,gravity
364,0.32263988,0.0023744146,0.001954188,0.005416733069398484,gravity
365,0.31968254,0.0023830223,0.0019655493,0.005448224720453779,gravity
366,0.31671745,0.0023917013,0.001977002,0.005479970003340878,gravity
367,0.31387448,0.0023996145,0.0019876654,0.0055095274696635565,gravity
368,0.31099853,0.002407767,0.0019985938,0.005539819371163318,gravity
369,0.30809295,0.0024161558,0.0020097813,0.005570829573499716,gravity
370,0.3053234,0.0024237959,0.0020201674,0.005599618399843567,gravity
371,0.30256173,0.0024314476,0.0020305691,0.005628450466219812,gravity
372,0.29977778,0.0024393005,0.0020411892,0.005657887893049576,gravity
373,0.2970741,0.0024467963,0.0020514107,0.005686220440245626,gravity
374,0.29445192,0.002453914,0.002061212,0.005713388088061506,gravity
375,0.29181376,0.0024612013,0.0020711944,0.0057410578365520515,gravity
376,0.2891946,0.002468484,0.002081161,0.005768683699636586,gravity
377,0.2867308,0.0024750468,0.0020903074,0.0057940365568391475,gravity
378,0.28425542,0.0024817523,0.0020996043,0.005819806325398822,gravity
379,0.2817694,0.0024885996,0.0021090505,0.005845989778447522,gravity
380,0.27944314,0.0024947606,0.002117693,0.0058699454017674966,gravity
381,0.2771421,0.002500876,0.0021262711,0.0058937229019689515,gravity
382,0.27483365,0.0025071092,0.0021349713,0.005917838577946146,gravity
383,0.27261963,0.002512998,0.0021432505,0.005940787418422316,gravity
384,0.27050003,0.0025185267,0.002151093,0.005962525537991451,gravity
385,0.2683754,0.0025241515,0.0021590344,0.00598453794134816,gravity
386,0.26627916,0.00252973,0.0021669038,0.0060063509242569615,gravity
387,0.26434368,0.002534683,0.0021740082,0.006026043209457596,gravity
388,0.26240474,0.0025397134,0.0021811915,0.0060459542763146735,gravity
389,0.26046258,0.002544823,0.0021884553,0.0060660886424435175,gravity
390,0.25867856,0.0025493484,0.0021949895,0.006084200407654104,gravity
391,0.256924,0.0025538076,0.0022014293,0.006102050796549473,gravity
392,0.25516742,0.0025583284,0.0022079316,0.006120074145574417,gravity
393,0.25350198,0.0025625506,0.0022140467,0.006137024238272922,gravity
394,0.25192806,0.0025664638,0.002219764,0.006152872032832185,gravity
395,0.25035232,0.0025704275,0.0022255327,0.00616886180958737,gravity
396,0.24880514,0.0025743311,0.0022312114,0.006184602472126074,gravity
397,0.24740529,0.0025777335,0.002236241,0.006198543833018288,gravity
