dim,icc,stream,category
824,0.37790135,gravity,poor
825,0.38297254,gravity,poor
826,0.38809806,gravity,poor
827,0.39343658,gravity,poor
828,0.39878225,gravity,poor
829,0.4041215,gravity,poor
830,0.40964177,gravity,poor
831,0.41518688,gravity,poor
832,0.4207042,gravity,poor
833,0.42629594,gravity,poor
834,0.4319634,gravity,poor
835,0.4375811,gravity,poor
836,0.44317186,gravity,poor
837,0.44888422,gravity,poor
838,0.4545243,gravity,poor
839,0.46007726,gravity,poor
840,0.4657215,gravity,poor
841,0.47130808,gravity,poor
842,0.47678488,gravity,poor
843,0.48225254,gravity,poor
844,0.48771304,gravity,poor
845,0.49304247,gravity,poor
846,0.49826506,gravity,poor
847,0.5035327,gravity,moderate
848,0.5086494,gravity,moderate
849,0.51360095,gravity,moderate
850,0.5185774,gravity,moderate
851,0.5234233,gravity,moderate
852,0.5280861,gravity,moderate
853,0.5326784,gravity,moderate
854,0.53720444,gravity,moderate
855,0.54153156,gravity,moderate
856,0.5456911,gravity,moderate
857,0.54985714,gravity,moderate
858,0.5538106,gravity,moderate
859,0.55754054,gravity,moderate
860,0.5612706,gravity,moderate
861,0.5648221,gravity,moderate
862,0.5681394,gravity,moderate
863,0.5713598,gravity,moderate
864,0.57448894,gravity,moderate
865,0.5773757,gravity,moderate
866,0.5800625,gravity,moderate
867,0.5827568,gravity,moderate
868,0.5852025,gravity,moderate
869,0.5873911,gravity,moderate
870,0.5895912,gravity,moderate
871,0.59159094,gravity,moderate
872,0.5933299,gravity,moderate
873,0.59497356,gravity,moderate
874,0.59652805,gravity,moderate
875,0.59781873,gravity,moderate
876,0.5989001,gravity,moderate
877,0.6000126,gravity,moderate
878,0.6008601,gravity,moderate
879,0.60143787,gravity,moderate
880,0.60205334,gravity,moderate
881,0.6024644,gravity,moderate
882,0.6026058,gravity,moderate
883,0.6026658,gravity,moderate
884,0.6026487,gravity,moderate
885,0.60236275,gravity,moderate
886,0.6018709,gravity,moderate
