dim,SRM,abs_SRM,stream
696,-0.09619303,0.09619303,gravity
697,-0.096643195,0.096643195,gravity
698,-0.09709043,0.09709043,gravity
699,-0.09753489,0.09753489,gravity
700,-0.0979341,0.0979341,gravity
701,-0.09832301,0.09832301,gravity
702,-0.09870948,0.09870948,gravity
703,-0.09907052,0.09907052,gravity
704,-0.0994061,0.0994061,gravity
705,-0.09974012,0.09974012,gravity
706,-0.10006538,0.10006538,gravity
707,-0.10035299,0.10035299,gravity
708,-0.10063949,0.10063949,gravity
709,-0.10092484,0.10092484,gravity
710,-0.101176076,0.101176076,gravity
711,-0.10141973,0.10141973,gravity
712,-0.10166261,0.10166261,gravity
713,-0.101886705,0.101886705,gravity
714,-0.102092244,0.102092244,gravity
715,-0.10229724,0.10229724,gravity
716,-0.10249593,0.10249593,gravity
717,-0.10266778,0.10266778,gravity
718,-0.10283883,0.10283883,gravity
719,-0.103009805,0.103009805,gravity
720,-0.10315619,0.10315619,gravity
721,-0.10329777,0.10329777,gravity
722,-0.103438914,0.103438914,gravity
723,-0.10356717,0.10356717,gravity
724,-0.10368289,0.10368289,gravity
725,-0.103798345,0.103798345,gravity
726,-0.10389415,0.10389415,gravity
727,-0.10389415,0.10389415,gravity
728,-0.112975225,0.112975225,gravity
729,-0.112975225,0.112975225,gravity
730,-0.11042851,0.11042851,gravity
